match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_unit_like,אשדוד,אשדוד|2061-91|60.1||3.0|לא צויין סוג|1994.0,4,2,1999-11-14,2001-05-09
parcel_unit_like,אשדוד,אשדוד|2061-91|60.1||6.0|דירה בבית קומות|1994.0,4,2,2005-08-01,2020-03-11
parcel_unit_like,אשדוד,אשדוד|2061-96|79.3||2.0|דירה בבית קומות|1970.0,6,2,2007-04-01,2017-03-31
parcel_unit_like,אשדוד,אשדוד|2061-96|79.3||3.0|דירה בבית קומות|1970.0,9,3,2015-04-20,2019-08-25
parcel_unit_like,אשדוד,אשדוד|2061-96|79.3||4.0|דירה בבית קומות|1970.0,6,2,2016-11-03,2019-01-27
parcel_unit_like,אשדוד,אשדוד|2061-97|77.0||2.0|דירה בבית קומות|1970.0,6,2,2012-05-08,2015-09-18
parcel_unit_like,אשדוד,אשדוד|2061-97|77.0||6.0|דירה בבית קומות|1970.0,6,2,2015-06-17,2022-03-07
parcel_unit_like,אשדוד,אשדוד|2062-20|100.0|||מגורים|,2,2,2023-01-11,2023-01-12
parcel_unit_like,אשדוד,אשדוד|2062-20|10906.0|||תעשיה|,2,2,2008-06-16,2018-10-17
parcel_unit_like,אשדוד,אשדוד|2062-20||||מסחרי + משרדים|,2,2,2022-05-29,2023-05-19
parcel_unit_like,אשדוד,אשדוד|2062-30|45.4||0.0|חנות|1990.0,2,2,2021-07-20,2022-10-19
parcel_unit_like,אשדוד,אשדוד|2062-35|145.0||1.0|חנות|1995.0,2,2,2014-01-27,2017-01-04
parcel_unit_like,אשדוד,אשדוד|2062-39|163.6||-1.0|מלאכה|1995.0,2,2,2008-02-03,2017-12-28
parcel_unit_like,אשדוד,אשדוד|2062-45|36.66||0.0|חנות|1987.0,2,2,2022-05-19,2022-10-30
parcel_unit_like,אשדוד,אשדוד|2062-45|48.0|||לא צויין סוג|1987.0,2,2,2000-07-31,2000-08-15
parcel_unit_like,אשדוד,אשדוד|2062-48|23.83||0.0|חנות|1990.0,2,2,2009-08-24,2015-08-02
parcel_unit_like,אשדוד,אשדוד|2062-50|24.0||1.0|חנות|1990.0,2,2,2017-05-17,2024-02-07
parcel_unit_like,אשדוד,אשדוד|2062-50|32.0||1.0|חנות|1990.0,4,4,2011-03-02,2020-11-24
parcel_unit_like,אשדוד,אשדוד|2062-67|44.0||3.0|אחר|2011.0,2,2,2010-05-24,2011-10-03
parcel_unit_like,אשדוד,אשדוד|2062-67|44.0||4.0|אחר|2011.0,3,3,2010-08-02,2011-01-09
parcel_unit_like,אשדוד,אשדוד|2062-67|44.0||4.0|משרד|2011.0,2,2,2011-01-10,2012-03-20
parcel_unit_like,אשדוד,אשדוד|2062-67|48.0||2.0|אחר|2011.0,3,2,2012-04-04,2014-04-06
parcel_unit_like,אשדוד,אשדוד|2062-67|48.0||3.0|אחר|2011.0,2,2,2011-08-22,2012-02-14
parcel_unit_like,אשדוד,אשדוד|2062-67|48.0||7.0|משרד|2011.0,2,2,2015-05-31,2019-08-26
parcel_unit_like,אשדוד,אשדוד|2062-67|54.0||5.0|משרד|2011.0,3,3,2013-09-18,2024-03-06
parcel_unit_like,אשדוד,אשדוד|2062-67|54.0||9.0|אחר|2011.0,2,2,2010-07-07,2010-08-04
parcel_unit_like,אשדוד,אשדוד|2062-67|57.0||3.0|אחר|2011.0,2,2,2011-07-20,2011-08-22
parcel_unit_like,אשדוד,אשדוד|2062-67|57.0||5.0|אחר|2011.0,2,2,2013-06-23,2014-01-15
